1,user,user,Nguyen Van A,0178987876,nguyenvanA123@gmail.com,hue,USER
2,admin,admin2,Nguyen Van B,0678987999,nguyenvanB@gmail.com,hue,ADMIN
1662979,huuquy,12446678a,Nguyenvana,0168918435,huuquy@gmail.com,hue,USER
1662985,nguyenhoaian,1234ty56,Nguyenhoaian,0987567987,hoaian@gmail.com,hue,USER
1663039,qwebadabdwq,4324326twrwr,Huuquy,0987678987,huu@gmail.com,hue,USER
1663044,Hehe,12345678a,Nguyenvana,0678945567,a@gmail.com,hue,USER
1663057,hello,123456asd,Haha,01689182131,vansung@gmai.com,quangtri,ADMIN
1663064,Huuquyne,123456qwe,Huuquyyyy,0168918234,huuquyne@gmail.com,hue,ADMIN
1663140,Van Tai,123456789,Vantai,0988908988,vantai@gmail.com,Ha Tinh ,USER
1663150,Vantung,1325t43567,Nguyenvantung,0156789987,vantung@gmail.com,huecity,ADMIN
